working_day,branch,start_time,end_time,subject,type
1WD,BM,09:00,10:00,PHY(MHB),class
1WD,BM,10:00,11:00,CHEM (SM),class
1WD,BM,11:00,12:00,MATH (ML),class
1WD,BM,12:00,13:00,TUTORIAL,class
1WD,BM,13:00,13:30,BREAK,break
1WD,BM,13:30,14:30,WORKSHOP PRACTICE,class
1WD,BM,14:30,15:30,WORKSHOP PRACTICE,class
1WD,CV,09:00,10:00,TUTORIAL,class
1WD,CV,10:00,11:00,MATH(T) (US),class
1WD,CV,11:00,12:00,CHLAB(C1)/PH LAB(C2),class
1WD,CV,12:00,13:00,CHLAB(C1)/PH LAB(C2),class
1WD,CV,13:00,13:30,BREAK,break
1WD,CV,13:30,14:30,SPORTS AND YOGA,class
1WD,CV,14:30,15:30,SPORTS AND YOGA,class
1WD,ME,09:00,10:00,CHEM (SM),class
1WD,ME,10:00,11:00,LIBRARY,class
1WD,ME,11:00,12:00,ENG (SG),class
1WD,ME,12:00,13:00,MATH (US),class
1WD,ME,13:00,13:30,BREAK,break
1WD,ME,13:30,14:30,ENGLAB(M1)/PHLAB(M2),class
1WD,ME,14:30,15:30,ENGLAB(M1)/PHLAB(M2),class
2WD,BM,09:00,10:00,TUTORIAL,class
2WD,BM,10:00,11:00,LIBRARY,class
2WD,BM,11:00,12:00,MATH (US),class
2WD,BM,12:00,13:00,ENG(SG),class
2WD,BM,13:00,13:30,BREAK,break
2WD,BM,13:30,14:30,PHLAB(B1)(GBT)/ENG LAB(B2),class
2WD,BM,14:30,15:30,PHLAB(B1)(GBT)/ENG LAB(B2),class
2WD,CV,09:00,10:00,ENG(SG),class
2WD,CV,10:00,11:00,CHEM (SM),class
2WD,CV,11:00,12:00,PHY(GBT),class
2WD,CV,12:00,13:00,MATH (ML),class
2WD,CV,13:00,13:30,BREAK,break
2WD,CV,13:30,14:30,WORKSHOP PRACTICE,class
2WD,CV,14:30,15:30,WORKSHOP PRACTICE,class
2WD,ME,09:00,10:00,TUTORIAL,class
2WD,ME,10:00,11:00,ENG(SG),class
2WD,ME,11:00,12:00,PHLAB(M1)/CHLAB(M2),class
2WD,ME,12:00,13:00,PHLAB(M1)/CHLAB(M2),class
2WD,ME,13:00,13:30,BREAK,break
2WD,ME,13:30,14:30,ENGINEERING GRAPHICS,class
2WD,ME,14:30,15:30,ENGINEERING GRAPHICS,class
3WD,BM,09:00,10:00,CHEM (SM),class
3WD,BM,10:00,11:00,PHY(T) (GBT),class
3WD,BM,11:00,12:00,CHLAB(B1)/ PH LAB(B2) (GBT),class
3WD,BM,12:00,13:00,CHLAB(B1)/ PH LAB(B2) (GBT),class
3WD,BM,13:00,13:30,BREAK,break
3WD,BM,13:30,14:30,SPORTS AND YOGA,class
3WD,BM,14:30,15:30,SPORTS AND YOGA,class
3WD,CV,09:00,10:00,TUTORIAL,class
3WD,CV,10:00,11:00,ENG(SG),class
3WD,CV,11:00,12:00,MATH (US),class
3WD,CV,12:00,13:00,TUTORIAL,class
3WD,CV,13:00,13:30,BREAK,break
3WD,CV,13:30,14:30,ENGLAB(C1)/PHLAB (C2),class
3WD,CV,14:30,15:30,ENGLAB(C1)/PHLAB (C2),class
3WD,ME,09:00,10:00,PHY(MHB),class
3WD,ME,10:00,11:00,CHEM (SM),class
3WD,ME,11:00,12:00,TUTORIAL,class
3WD,ME,12:00,13:00,MATH (ML),class
3WD,ME,13:00,13:30,BREAK,break
3WD,ME,13:30,14:30,WORKSHOP PRACTICE,class
3WD,ME,14:30,15:30,WORKSHOP PRACTICE,class
4WD,BM,09:00,10:00,MATH (ML),class
