date,working_day,status,holiday
2026-08-05,1WD,working,
2026-08-06,2WD,working,
2026-08-07,3WD,working,
2026-08-08,,holiday,2nd Saturday
2026-08-09,,holiday,Sunday
2026-08-10,4WD,working,
2026-08-11,5WD,working,
2026-08-12,6WD,working,
2026-08-13,1WD,working,
2026-08-14,2WD,working,
2026-08-15,,holiday,Independence Day
2026-08-16,,holiday,Sunday
2026-08-17,3WD,working,
2026-08-18,4WD,working,
2026-08-19,5WD,working,
2026-08-20,6WD,working,
2026-08-21,1WD,working,
2026-08-22,,holiday,4th Saturday
2026-08-23,,holiday,Sunday
2026-08-24,2WD,working,
2026-08-25,3WD,working,
2026-08-26,4WD,working,
2026-08-27,5WD,working,
2026-08-28,6WD,working,
2026-08-29,1WD,working,
2026-08-30,,holiday,Sunday
2026-08-31,2WD,working,
2026-09-01,,holiday,Tirubhav Tithi of Sri Sri Madhabdeva
2026-09-02,3WD,working,
2026-09-03,4WD,working,
2026-09-04,,holiday,Janmastomi
2026-09-05,5WD,working,
2026-09-06,,holiday,Sunday
2026-09-07,6WD,working,
2026-09-08,1WD,working,
2026-09-09,2WD,working,
2026-09-10,3WD,working,
2026-09-11,4WD,working,
2026-09-12,,holiday,2nd Saturday / Tirubhav Tithi of Srimanta Sankardeva
2026-09-13,,holiday,Sunday
2026-09-14,5WD,working,
2026-09-15,6WD,working,
2026-09-16,1WD,working,
2026-09-17,2WD,working,
2026-09-18,3WD,working,
2026-09-19,4WD,working,
2026-09-20,,holiday,Sunday
2026-09-21,,holiday,Janmotsav of Srimanta Sankardeva
2026-09-22,,holiday,Karam Puja
2026-09-23,5WD,working,
2026-09-24,6WD,working,
2026-09-25,1WD,working,
2026-09-26,,holiday,4th Saturday
2026-09-27,,holiday,Sunday
2026-09-28,2WD,working,
2026-09-29,3WD,working,
2026-09-30,4WD,working,
2026-10-01,5WD,working,
2026-10-02,,holiday,Birthday of Mahatma Gandhi
2026-10-03,6WD,working,
2026-10-04,,holiday,Sunday
2026-10-05,1WD,working,
2026-10-06,2WD,working,
2026-10-07,3WD,working,
2026-10-08,4WD,working,
2026-10-09,5WD,working,
2026-10-10,,holiday,2nd Saturday
2026-10-11,,holiday,Sunday
2026-10-12,6WD,working,
2026-10-13,1WD,working,
2026-10-14,2WD,working,
2026-10-15,3WD,working,
2026-10-16,4WD,working,
2026-10-17,5WD,working,
2026-10-18,,holiday,Sunday / Kati Bihu & Durga Puja
2026-10-19,,holiday,Durga Puja & Vijaya Dashomi
2026-10-20,,holiday,Durga Puja & Vijaya Dashomi
2026-10-21,,holiday,Durga Puja & Vijaya Dashomi
2026-10-22,6WD,working,
2026-10-23,1WD,working,
2026-10-24,,holiday,4th Saturday
2026-10-25,,holiday,Sunday/Lakshmi Puja
2026-10-26,2WD,working,
2026-10-27,3WD,working,
2026-10-28,4WD,working,
2026-10-29,5WD,working,
2026-10-30,6WD,working,
2026-10-31,1WD,working,
2026-11-01,,holiday,Sunday
2026-11-02,2WD,working,
2026-11-03,3WD,working,
2026-11-04,4WD,working,
2026-11-05,5WD,working,
2026-11-06,6WD,working,
2026-11-07,1WD,working,
2026-11-08,,holiday,Sunday/Kali Puja & Diwali
2026-11-09,2WD,working,
2026-11-10,3WD,working,
2026-11-11,,holiday,Bhatri Dwitiya
2026-11-12,4WD,working,
2026-11-13,5WD,working,
2026-11-14,,holiday,2nd Saturday
2026-11-15,,holiday,Sunday/Chhath Puja
2026-11-16,6WD,working,
2026-11-17,1WD,working,
2026-11-18,2WD,working,
2026-11-19,3WD,working,
2026-11-20,4WD,working,
2026-11-21,5WD,working,
